"komu" "ile" "kto" "kto_klub" "komu_klub"
"239" "Marzena Machałek" 4 "Krzysztof Brejza" "PO" "PiS"
"240" "Paweł Kukiz przestawia flagi na pulpitach, tak aby przed nim stały 
dwie flagi biało-czerwone, a na pulpicie nieobecnego posła Klubu 
Parlamentarnego Platforma Obywatelska - dwie flagi Unii Europejskiej" 1 "Krzysztof Brejza" "PO" "Kukiz15"
"241" "Piotr Kaleta" 1 "Krzysztof Brejza" "PO" "PiS"
"242" "Przemysław Czarnecki" 1 "Krzysztof Brejza" "PO" "PiS"
"243" "Rafał Grupiński" 4 "Krzysztof Brejza" "PO" "PO"
"244" "Robert Telus" 1 "Krzysztof Brejza" "PO" "PiS"
"245" "Sławomir Nitras" 1 "Krzysztof Brejza" "PO" "PO"
"246" "Stanisław Pięta" 1 "Krzysztof Brejza" "PO" "PiS"
"247" "Stanisław Piotrowicz" 1 "Krzysztof Brejza" "PO" "PiS"
"248" "Stefan Niesiołowski" 1 "Krzysztof Brejza" "PO" "PO"
"249" "Zbigniew Biernat" 2 "Krzysztof Brejza" "PO" "PiS"
"250" "Zbigniew Ziobro" 1 "Krzysztof Brejza" "PO" "PiS"
"251" "Adam Abramowicz" 1 "Barbara Dolniak" "N" "PiS"
"252" "Krystyna Pawłowicz" 1 "Barbara Dolniak" "N" "PiS"
"253" "Andrzej Szlachta" 1 "Krzysztof Mieszkowski" "N" "PiS"
"254" "Anna Zalewska" 1 "Krzysztof Mieszkowski" "N" "PiS"
"255" "Arkadiusz Czartoryski" 2 "Krzysztof Mieszkowski" "N" "PiS"
"256" "Elżbieta Radziszewska" 1 "Krzysztof Mieszkowski" "N" "PO"
"257" "Grzegorz Długi" 1 "Krzysztof Mieszkowski" "N" "Kukiz15"
"258" "Izabela Kloc" 1 "Krzysztof Mieszkowski" "N" "PiS"
"259" "Jolanta Szczypińska" 1 "Krzysztof Mieszkowski" "N" "PiS"
"260" "Krystyna Pawłowicz" 5 "Krzysztof Mieszkowski" "N" "PiS"
